CHSI_County_Name,CHSI_State_Name,Strata_ID_Number,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Elderly_Medicare (elderly age 65+),Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
Autauga,Alabama,29,27.8,78.6,24.5,29.1,26.6,14.2,5690,4762,1209,45.3,22.6,1,2
Baldwin,Alabama,16,27.2,76.2,23.6,30.5,24.6,7.2,19798,22635,3839,67,30.8,1,2
Barbour,Alabama,51,-1111.1,-1111.1,25.6,-1111.1,17.7,6.6,5126,3288,1092,45.8,24.6,1,2
Bibb,Alabama,42,-1111.1,86.6,-1111.1,-1111.1,-1111.1,13.1,3315,2390,974,41.8,18.6,1,1
Blount,Alabama,28,33.5,74.6,24.2,-1111.1,23.6,8.4,8131,5019,1300,16.2,10.8,2,1
Bullock,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,1,1
Butler,Alabama,76,24.5,-1111.1,22,-1111.1,27.3,9.5,4055,3150,952,43.3,19.3,1,2
Calhoun,Alabama,6,29.2,81.9,27,33.2,25.5,11.2,16456,16440,5301,75.8,41.9,1,2
Chambers,Alabama,50,34.7,84.6,-1111.1,-1111.1,11.7,17.1,5533,5473,1497,53.6,22.6,1,2
Cherokee,Alabama,64,-1111.1,-1111.1,-1111.1,-1111.1,23.6,13.3,3583,3086,854,28.5,12.2,2,1
Chilton,Alabama,32,30.3,82.8,31.2,26.5,30,6,6130,4527,1307,31.1,19.2,1,2
Choctaw,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,17.1,13.5,2677,2148,800,33.8,20.3,1,1
Clarke,Alabama,51,31.5,-1111.1,-1111.1,-1111.1,-1111.1,15.8,4593,3850,1150,55,29.3,2,2
Clay,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,23.9,12.2,2320,2198,610,35.8,14.3,2,1
Cleburne,Alabama,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,2107,1852,646,0,6.9,2,1
Coffee,Alabama,32,23.3,-1111.1,25.5,31.3,23,10.3,6764,6099,1366,48.3,39.5,1,2
Colbert,Alabama,21,30.2,76.9,30.1,-1111.1,21.7,13.6,8141,8226,2302,60.4,31.1,1,2
Conecuh,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,12.3,8.2,2657,1947,725,60.3,7.5,1,1
Coosa,Alabama,41,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15,2028,1562,621,9,9,1,1
Covington,Alabama,35,28.8,-1111.1,30.2,-1111.1,27.8,12.1,6094,6401,1583,59.5,24.3,1,2
Crenshaw,Alabama,71,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2504,2272,568,14.6,14.6,1,1
Cullman,Alabama,21,29.4,76.2,22.2,35,27.6,10,11912,11129,2400,53.8,22.5,1,2
Dale,Alabama,33,30.4,79.5,25,-1111.1,29.3,12.1,7831,7809,2314,24.6,22.6,2,1
Dallas,Alabama,52,31.5,85.9,36.6,-1111.1,20.4,11.5,9242,6424,2302,101.4,38.3,1,2
DeKalb,Alabama,24,37,80.7,24.3,35.3,19.1,7.8,12260,8411,2351,34.2,19.3,1,2
Elmore,Alabama,19,27.7,85,24.8,23,22.6,5.5,8320,7792,2167,33.8,16.2,1,2
Escambia,Alabama,51,34.3,87.1,33.7,-1111.1,26.1,11.4,6490,5064,1476,57.8,26.3,1,2
Etowah,Alabama,6,34.1,81.4,27.1,38.2,31.5,10.2,16180,15265,4508,72.7,42.6,1,2
Fayette,Alabama,63,-1111.1,-1111.1,32.7,-1111.1,21.2,12.7,2358,2544,731,60.3,16.5,2,2
Franklin,Alabama,49,28.9,85.5,-1111.1,-1111.1,-1111.1,7.2,5977,4871,1320,35.8,22.8,1,2
Geneva,Alabama,64,-1111.1,-1111.1,34.5,-1111.1,-1111.1,9.4,4759,4173,1118,35,15.5,2,1
Greene,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.1,2384,1287,461,31.1,10.4,1,1
Hale,Alabama,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,5.2,3422,2358,825,27.3,5.5,1,1
Henry,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,2556,2583,631,18.1,30.1,2,2
Houston,Alabama,23,32.9,77.7,29.5,34,25,8.8,14235,9901,2416,106.1,47.7,1,2
Jackson,Alabama,22,34,82.3,29.4,29.2,37,6.1,7294,7744,1978,70.8,29.8,1,2
Jefferson,Alabama,3,29,79.1,27.1,31.9,23.4,9.7,87428,89884,21625,154.9,71.5,1,2
Lamar,Alabama,63,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,2237,2648,702,13.4,20.1,2,2
Lauderdale,Alabama,21,25.8,77.1,23.8,34.7,21.1,6.7,11424,13168,3134,58.2,49,1,2
Lawrence,Alabama,32,31.9,85.2,19.9,-1111.1,28.5,9.2,5396,3526,1074,28.9,8.7,1,1
Lee,Alabama,22,25.9,74.9,21.7,24.5,27.1,7.8,17335,9041,2465,63.3,26,1,2
Limestone,Alabama,19,30.4,79.5,26,-1111.1,25,8.1,8934,7024,1778,39.7,15.6,1,2
Lowndes,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,2951,1326,507,15.3,7.6,1,2
Macon,Alabama,44,-1111.1,-1111.1,-1111.1,-1111.1,15.7,13.6,4325,2862,781,26.3,21.9,1,1
Madison,Alabama,4,22.9,75.6,23.1,24.9,21.3,6.5,35743,32428,5431,95.2,46.6,1,2
Marengo,Alabama,67,-1111.1,-1111.1,-1111.1,-1111.1,15.6,11.3,4074,2816,862,54.8,13.7,1,2
Marion,Alabama,49,-1111.1,84.8,30.9,-1111.1,-1111.1,10.1,5205,4619,1284,53.1,26.5,2,2
Marshall,Alabama,22,34.8,82.1,27.5,36.8,31.6,7.2,14593,12686,3083,63.1,33.9,2,2
Mobile,Alabama,5,30.8,76.2,26.6,27.2,25.1,6.6,65687,47123,12197,95.4,38.4,1,2
Monroe,Alabama,67,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.1,4269,3035,889,50.6,29.5,1,2
Montgomery,Alabama,7,28.2,75.6,23.9,27.8,20.7,8.5,32259,25495,6378,107.4,49.2,1,2
Morgan,Alabama,14,23.4,74.5,22.5,32.7,28.9,6.7,16097,14763,3367,76.5,41.3,1,2
Perry,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2776,1538,487,35.2,26.4,1,1
Pickens,Alabama,76,-1111.1,-1111.1,-1111.1,-1111.1,15.2,12.8,3606,3147,929,49.6,9.9,2,1
Pike,Alabama,35,24.2,-1111.1,29.1,-1111.1,16.5,11.3,5696,3917,1180,57.4,27,1,2
Randolph,Alabama,72,35.2,-1111.1,-1111.1,-1111.1,22.1,8.1,3575,3357,869,26.4,17.6,2,2
Russell,Alabama,8,32.8,-1111.1,28.9,-1111.1,22,9.7,8785,6799,1851,32.4,16.2,1,2
St. Clair,Alabama,22,28.2,79.7,27.6,39,28.5,13,8534,6538,2029,22.1,15.2,2,1
Shelby,Alabama,11,18.9,78.3,20.8,26.7,21,4.8,13249,10635,2661,95.6,28,1,2
Sumter,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.8,3465,1925,595,36.2,14.5,1,2
Talladega,Alabama,8,34.1,79.1,32.7,42.2,24.1,10.9,12378,10035,4300,38.5,21.1,1,2
Tallapoosa,Alabama,49,32.1,79.3,23.2,-1111.1,29.4,5.6,6488,5808,1749,61.4,34.4,1,2
Tuscaloosa,Alabama,6,27.1,79,25.3,29.7,23.8,7.9,23311,17734,5539,97.7,32,1,2
Walker,Alabama,24,34.9,79.3,30.5,35,33.8,11.5,10818,10991,3880,45.6,29.9,1,2
Washington,Alabama,66,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,3037,2210,764,33.8,11.3,1,1
Wilcox,Alabama,75,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.6,2960,1746,781,30.9,7.7,1,1
Winston,Alabama,41,-1111.1,-1111.1,28,-1111.1,26.9,8.5,4592,3642,1152,32.7,12.2,2,1
Aleutians East,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,488,-2222,-2222,73.7,0,1,1
Aleutians West,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,854,190,27,18.6,18.6,1,1
Anchorage,Alaska,9,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,37239,15489,3874,107.3,78.9,1,2
Bethel,Alaska,86,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4088,804,142,75.9,58.4,1,2
Bristol Bay,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,153,339,73,0,0,1,2
Denali,Alaska,78,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,276,-2222,-2222,0,0,1,1
Dillingham,Alaska,83,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1133,350,50,182.7,101.5,1,2
Fairbanks North Star,Alaska,17,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11681,4275,958,93.7,75.4,1,2
Haines,Alaska,80,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,355,279,33,88,44,1,2
Juneau,Alaska,47,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3926,2367,502,122.6,67.8,1,2
